title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
Tensorflow 7 Variable (Eng Sub neural network tutorial),jGxK7gfglrI,https://www.youtube.com/watch?v=jGxK7gfglrI, Tensorflow 7 Variable 变量 (神经网络 教学教程tutorial),XMTYxMzY2MDM2OA,http://v.youku.com/v_show/id_XMTYxMzY2MDM2OA==.html,7 Variable 变量,16001891&page=11,https://www.bilibili.com/video/av16001891/index_11.html
Tensorflow 8 placeholder (Eng Sub neural network tutorial),fCWbRboJ4Rs,https://www.youtube.com/watch?v=fCWbRboJ4Rs, Tensorflow 8 placeholder 传入值 (神经网络 教学教程tutorial),XMTYxMzY5NzI4MA,http://v.youku.com/v_show/id_XMTYxMzY5NzI4MA==.html,8 placeholder 传入值,16001891&page=12,https://www.bilibili.com/video/av16001891/index_12.html
什么是激励函数 (深度学习)? Why need activation functions (deep learning)?,tI9AbaBfnPc,https://www.youtube.com/watch?v=tI9AbaBfnPc,机器学习技巧4: 为什么需要激励函数 (深度学习)? Why need activation functions (deep learning)?,XMTcxMTExNjA5Mg,http://v.youku.com/v_show/id_XMTcxMTExNjA5Mg==.html,什么是激励函数 (深度学习)?,16001891&page=13,https://www.bilibili.com/video/av16001891/index_13.html
Tensorflow 9 activation function (Eng Sub neural network tutorial),6gbGCxBGxZA,https://www.youtube.com/watch?v=6gbGCxBGxZA, Tensorflow 9 激励函数 activation function (神经网络 教学教程),XMTU5NjA2MTk0MA,http://v.youku.com/v_show/id_XMTU5NjA2MTk0MA==.html,9 激励函数 activation function,16001891&page=14,https://www.bilibili.com/video/av16001891/index_14.html
Tensorflow 10 example3 add layers function (Eng Sub neural network tutorial),FTR36h-LKcY,https://www.youtube.com/watch?v=FTR36h-LKcY, Tensorflow 10 添加层 def add_layer() (神经网络 教学教程),XMTU5NjEzOTA4NA,http://v.youku.com/v_show/id_XMTU5NjEzOTA4NA==.html,10 例子3 添加层 def add_layer(),16001891&page=15,https://www.bilibili.com/video/av16001891/index_15.html
Tensorflow 11 example3 build a neural net (Eng Sub neural network tutorial),S9wBMi2B4Ss,https://www.youtube.com/watch?v=S9wBMi2B4Ss, Tensorflow 11 例子3 建造神经网络 (神经网络 教学教程),XMTU5OTA5NDI1Mg,http://v.youku.com/v_show/id_XMTU5OTA5NDI1Mg==.html,11 例子3 建造神经网络 build a neural network,16001891&page=16,https://www.bilibili.com/video/av16001891/index_16.html
Tensorflow 12 example3 plotting result (Eng Sub neural network tutorial),nhn8B0pM9ls,https://www.youtube.com/watch?v=nhn8B0pM9ls, Tensorflow 12 例子3 结果可视化 (神经网络 教学教程),XMTU5OTQzOTMzNg,http://v.youku.com/v_show/id_XMTU5OTQzOTMzNg==.html,12 例子3 结果可视化 plot result,16001891&page=17,https://www.bilibili.com/video/av16001891/index_17.html
优化器 Optimizer 加速神经网络训练 (深度学习) Speed up neural network training process (deep learning),UlUGGB7akfE,https://www.youtube.com/watch?v=UlUGGB7akfE,机器学习技巧6: 加速神经网络训练 (深度学习)?  Speed up neural network training (deep learning)?,XMTc2MjA0ODQyOA,http://v.youku.com/v_show/id_XMTc2MjA0ODQyOA==.html,优化器 Optimizer 加速神经网络训练 (深度学习),16001891&page=18,https://www.bilibili.com/video/av16001891/index_18.html
Tensorflow 13 Optimizer (Eng Sub neural network tutorial),9BmaWixFwj8,https://www.youtube.com/watch?v=9BmaWixFwj8, Tensorflow 13 优化器 optimizer (神经网络 教学教程tutorial),XMTYwMzk1NDM4OA,http://v.youku.com/v_show/id_XMTYwMzk1NDM4OA==.html,13 优化器 optimizer,16001891&page=19,https://www.bilibili.com/video/av16001891/index_19.html
Tensorflow 14 Tensorboard1 Visualize your net (Eng Sub neural network tutorial),SDeQRRRMUHU,https://www.youtube.com/watch?v=SDeQRRRMUHU, Tensorflow 14 Tensorboard 可视化好帮手 (神经网络 教学教程tutorial),XMTYxMTYwMjEwMA,http://v.youku.com/v_show/id_XMTYxMTYwMjEwMA==.html,14 Tensorboard 可视化好帮手,16001891&page=20,https://www.bilibili.com/video/av16001891/index_20.html
Tensorflow 15 Tensorboard2 Visualize your net (Eng Sub neural network tutorial),L-RDrbYNWDk,https://www.youtube.com/watch?v=L-RDrbYNWDk, Tensorflow 15 Tensorboard 可视化好帮手2 (神经网络 教学教程tutorial),XMTYxMTcxODYyMA,http://v.youku.com/v_show/id_XMTYxMTcxODYyMA==.html,15 Tensorboard 可视化好帮手2,16001891&page=21,https://www.bilibili.com/video/av16001891/index_21.html
Tensorflow 16 Classification (Eng Sub neural network tutorial),aNjdw9w_Qyc,https://www.youtube.com/watch?v=aNjdw9w_Qyc, Tensorflow 16 Classification 分类学习 (神经网络 教学教程tutorial),XMTYxMjQ2NTYyNA,http://v.youku.com/v_show/id_XMTYxMjQ2NTYyNA==.html,16 Classification 分类学习,16001891&page=22,https://www.bilibili.com/video/av16001891/index_22.html
什么是过拟合 (深度学习)? What is overfitting (deep learning)?,e9OKufD6lRM,https://www.youtube.com/watch?v=e9OKufD6lRM,机器学习技巧5: 什么是过拟合 (深度学习)? What is overfitting (deep learning)?,XMTczNjA2Nzc5Ng,http://v.youku.com/v_show/id_XMTczNjA2Nzc5Ng==.html,什么是过拟合 (深度学习)?,16001891&page=23,https://www.bilibili.com/video/av16001891/index_23.html
Tensorflow 17 dropout solve overfitting (Eng Sub neural network tutorial),f2F9Xsd7KVk,https://www.youtube.com/watch?v=f2F9Xsd7KVk, Tensorflow 17 dropout 解决 overfitting 问题 (神经网络 教学教程tutorial),XMTYxODI2Mzk5Ng,http://v.youku.com/v_show/id_XMTYxODI2Mzk5Ng==.html,17 dropout 解决 overfitting 问题,16001891&page=24,https://www.bilibili.com/video/av16001891/index_24.html
什么是卷积神经网络 CNN (深度学习)? What is Convolutional Neural Networks (deep learning)?,hMIZ85t9r9A,https://www.youtube.com/watch?v=hMIZ85t9r9A,3 什么是卷积神经网络(深度学习)? What is Convolutional Neural Networks (deep learning)?,XMTY4MzAyNTc4NA,http://v.youku.com/v_show/id_XMTY4MzAyNTc4NA==.html,什么是卷积神经网络 CNN (深度学习)?,16001891&page=25,https://www.bilibili.com/video/av16001891/index_25.html
Tensorflow 18 Convolutional Neural Networks (CNN) (Eng Sub neural network tutorial),tjcgL5RIdTM,https://www.youtube.com/watch?v=tjcgL5RIdTM, Tensorflow 18.1 CNN 卷积神经网络 Convolutional Neural Networks(神经网络 教学教程tutorial),XMTYyMTUyMjc0OA,http://v.youku.com/v_show/id_XMTYyMTUyMjc0OA==.html,18.1 CNN 卷积神经网络,16001891&page=26,https://www.bilibili.com/video/av16001891/index_26.html
Tensorflow 18 Convolutional Neural Network2 (CNN) (Eng Sub neural network tutorial),JCBe_yjDmY8,https://www.youtube.com/watch?v=JCBe_yjDmY8, Tensorflow 18.2 CNN 卷积神经网络 Convolutional Neural Networks(神经网络 教学教程tutorial),XMTYyMTY1MjMwOA,http://v.youku.com/v_show/id_XMTYyMTY1MjMwOA==.html,18.2 CNN 卷积神经网络,16001891&page=27,https://www.bilibili.com/video/av16001891/index_27.html
